Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Interest",Time
"KMY00 (Cash)",111.98,1.19,111.98,111.98,111.98,110.79,0,0,2025-06-12
"KMN25 (Jul '25)",115.775,-0.125,0,115.775,115.775,115.9,0,14,2025-06-13
"KMQ25 (Aug '25)",115,-0.125,115,115,115,115.125,1,4,2025-06-13
"KMV25 (Oct '25)",106.7,-0.125,0,106.7,106.7,106.825,0,0,2025-06-13
"KMZ25 (Dec '25)",94.55,-0.125,0,94.55,94.55,94.675,0,21,2025-06-13
"KMG26 (Feb '26)",95.5,-0.125,0,95.5,95.5,95.625,0,0,2025-06-13
"KMJ26 (Apr '26)",96.625,-0.125,0,96.625,96.625,96.75,0,0,2025-06-13
"KMK26 (May '26)",103.225,-0.125,0,103.225,103.225,103.35,0,0,2025-06-13
"KMM26 (Jun '26)",108.575,-0.125,0,108.575,108.575,108.7,0,0,2025-06-13
"KMN26 (Jul '26)",109.925,-0.125,0,109.925,109.925,110.05,0,0,2025-06-13
"KMQ26 (Aug '26)",108.45,-0.125,0,108.45,108.45,108.575,0,0,2025-06-13
"KMV26 (Oct '26)",100.85,-0.125,0,100.85,100.85,100.975,0,0,2025-06-13
"KMZ26 (Dec '26)",88.7,0,0,88.7,88.7,0,0,N/A,2025-06-13
"Downloaded from Barchart.com as of 06-14-2025 09:37am CDT"
