Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Interest",Time
"KMY00 (Cash)",102.58,0.75,102.58,102.58,102.58,101.83,0,0,2025-05-29
"KMM25 (Jun '25)",105.675,0,0,105.675,105.675,105.675,0,6,2025-05-30
"KMN25 (Jul '25)",110.925,0,0,110.925,110.925,110.925,0,14,2025-05-30
"KMQ25 (Aug '25)",110.15,0,0,110.15,110.15,110.15,0,4,2025-05-30
"KMV25 (Oct '25)",101.85,0,0,101.85,101.85,101.85,0,0,2025-05-30
"KMZ25 (Dec '25)",90.7,0.7,0,90.7,90.7,90,0,17,2025-05-30
"KMG26 (Feb '26)",91.65,0.7,0,91.65,91.65,90.95,0,0,2025-05-30
"KMJ26 (Apr '26)",92.775,0.7,0,92.775,92.775,92.075,0,0,2025-05-30
"KMK26 (May '26)",99.375,0.7,0,99.375,99.375,98.675,0,0,2025-05-30
"KMM26 (Jun '26)",104.725,0.7,0,104.725,104.725,104.025,0,0,2025-05-30
"KMN26 (Jul '26)",106.075,0.7,0,106.075,106.075,105.375,0,0,2025-05-30
"KMQ26 (Aug '26)",104.6,0.7,0,104.6,104.6,103.9,0,0,2025-05-30
"KMV26 (Oct '26)",97,0.7,0,97,97,96.3,0,0,2025-05-30
"Downloaded from Barchart.com as of 06-01-2025 07:15am CDT"
